sector,split,MAE,RMSE,R2,MAPE,WMAPE
total,train,5.917325646297342,15.893105466546753,0.998736172502961,4.3998833103848405,2.500020308818234
total,validation,7.1713198216616965,20.83694932544049,0.9980400524170439,4.44233150232241,2.7219865829410894
total,test,6.481803018937885,18.22883502502009,0.9984483808767007,4.2839148928015405,2.4950924710393663
residencial,train,1.286188503461799,3.0958397867744525,0.9996760239106292,2.7902193170718106,1.4650733822327975
residencial,validation,1.5989384134156155,4.177693083237187,0.9993944246042911,2.9792782406490073,1.7563284603543197
residencial,test,1.5380624847971405,4.095552698115972,0.999417821913666,2.865994860759189,1.689165703672487
servicios,train,3.83879806033587,9.76817905373499,0.9983987413741084,6.386347751404919,3.02342351583487
servicios,validation,5.5148248573289,16.203138870125194,0.9968191277948572,5.9897007909195,3.4355493229446172
servicios,test,5.016379025115241,14.063069111137779,0.9974983221677037,5.987171529061982,3.190095129347492
industria,train,1.3593432943509247,4.042248610337432,0.9931902838609233,12.340358762211356,6.1978606578514075
industria,validation,1.306632704555448,4.984350583657695,0.9771192335489859,21.872264293359375,10.98202885322288
industria,test,1.3147378383508626,5.4946350418166015,0.9699709826092723,22.25102857529136,11.453460692668017
