MAE,RMSE,R2,MAPE,WMAPE,problem,scenario,target,municipalities,rows,open_meteo_rows
8.845860356504447,24.12648319452828,0.9985980668451219,4.250418426947874,2.0593987823685196,consumption,observed_current_39,total,39,67225,0
2.0715307842515487,5.183626882033277,0.999540019260353,2.5788140756716866,1.4441941530617146,consumption,observed_current_39,residencial,39,67225,0
6.7633748220717305,18.140805386307584,0.9977872380224191,5.804951858323316,2.525310637607377,consumption,observed_current_39,servicios,39,67225,0
2.0873355259956785,7.953751372094099,0.9684687373345054,23.612622766128954,11.422360985604179,consumption,observed_current_39,industria,39,67225,0
6.062065150623968,17.263690772019697,0.9986083913933049,4.014635831844274,2.333696397367481,consumption,augmented_open_meteo_missing,total,87,162265,95040
1.6362030564734962,4.344117656775298,0.999343982079236,2.4543194432617903,1.7993682565442815,consumption,augmented_open_meteo_missing,residencial,87,162265,95040
4.494932223942403,13.205837645326534,0.9977949586902652,5.546386049107717,2.8568451463465245,consumption,augmented_open_meteo_missing,servicios,87,162265,95040
1.3977756104753825,5.554070579793512,0.969378792235888,21.73702426495446,12.163786076571146,consumption,augmented_open_meteo_missing,industria,87,162265,95040
1004.0910640552792,1298.386278588866,0.7649032846331386,47.5210033026231,25.760754918630212,eolica,observed_current_weather,eolica,40,2005,0
929.0582178992544,1216.2333065862563,0.7937126903759814,47.74922582740661,23.835727568156525,eolica,augmented_open_meteo_missing,eolica,88,2005,96384
